GENE,CHR,STRAND,START,STOP,SIZE
LGALS3BP,17,-,76967334,76976061,8728
LGALS4,19,-,39292310,39303740,11431
LGALS7,19,-,39261607,39264157,2551
LGALS7B,19,+,39279849,39282394,2546
LGALS8,1,+,236681513,236716279,34767
LGALS8-AS1,1,-,236686368,236687808,1441
LGALS9,17,+,25958173,25976586,18414
LGALS9B,17,-,20353175,20370848,17674
LGALS9C,17,+,18380098,18398259,18162
LGALSL,2,+,64681326,64688517,7192
LGI1,10,+,95517565,95557916,40352
LGI2,4,-,25000470,25032414,31945
LGI3,8,-,22004342,22014344,10003
LGI4,19,-,35615416,35626178,10763
LGMN,14,-,93170151,93215047,44897
LGR4,11,-,27387507,27494334,106828
LGR5,12,+,71833549,71980088,146540
LGR6,1,+,202163117,202288889,125773
LGSN,6,-,63985855,64029882,44028
LHB,19,-,49519236,49520347,1112
LHCGR,2,-,48913912,48982880,68969
LHFP,13,-,39917028,40177356,260329
LHFPL1,X,-,111873878,111923375,49498
LHFPL2,5,-,77781037,77944648,163612
LHFPL3,7,+,103969103,104549003,579901
LHFPL3-AS1,7,-,104436953,104444539,7587
LHFPL3-AS2,7,-,104535074,104567092,32019
LHFPL4,3,-,9540044,9595486,55443
LHFPL5,6,+,35773070,35791852,18783
LHPP,10,+,126150340,126302710,152371
LHX1,17,+,35294771,35301915,7145
LHX2,9,+,126773888,126795442,21555
LHX3,9,-,139088095,139096955,8861
LHX4,1,+,180199432,180244188,44757
LHX4-AS1,1,-,180238797,180243816,5020
LHX5,12,-,113900693,113909877,9185
LHX6,9,-,124964855,124991091,26237
LHX8,1,+,75594118,75627218,33101
LHX9,1,+,197881634,197899273,17640
LIAS,4,+,39460643,39479271,18629
LIF,22,-,30636435,30642840,6406
LIFR,5,-,38475064,38595507,120444
LIFR-AS1,5,+,38556887,38671318,114432
LIG1,19,-,48618701,48673860,55160
LIG3,17,+,33307516,33332088,24573
LIG4,13,-,108859791,108870716,10926
LILRA1,19,+,55105040,55113846,8807
LILRA2,19,+,55084463,55099028,14566
LILRA3,19,-,54799849,54804265,4417
LILRA4,19,-,54844691,54850421,5731
LILRA5,19,-,54818352,54824409,6058
LILRA6,19,-,54740467,54746617,6151
LILRB1,19,+,55128383,55148981,20599
LILRB2,19,-,54777674,54785033,7360
LILRB3,19,-,54720146,54746711,26566
LILRB4,19,+,55174270,55181810,7541
LILRB5,19,-,54754269,54761167,6899
LILRP2,19,+,55219699,55224955,5257
LIM2,19,-,51883162,51891210,8049
LIMA1,12,-,50569562,50677353,107792
LIMCH1,4,+,41361623,41702061,340439
LIMD1,3,+,45636322,45722755,86434
LIMD1-AS1,3,-,45719656,45730374,10719
LIMD2,17,-,61773248,61777519,4272
LIME1,20,+,62367977,62370460,2484
LIMK1,7,+,73498106,73536855,38750
LIMK2,22,+,31608249,31676066,67818
LIMS1,2,+,109150810,109303702,152893
LIMS2,2,-,128395995,128439360,43366
LIMS3,2,-,111203459,111230652,27194
LIMS3,2,+,110656008,110683202,27195
LIMS3L,2,-,111203459,111230652,27194
LIMS3L,2,+,110656008,110683202,27195
LIMS3-LOC440895,2,-,111160495,111230652,70158
LIMS3-LOC440895,2,+,110656008,110726149,70142
LIN28A,1,+,26737268,26756219,18952
LIN28B,6,+,105404922,105531207,126286
LIN37,19,+,36239261,36245420,6160
LIN52,14,+,74551655,74667117,115463
LIN54,4,-,83845756,83934094,88339
LIN7A,12,-,81191170,81331694,140525
LIN7B,19,+,49617617,49621717,4101
LIN7C,11,-,27515964,27528326,12363
LIN9,1,-,226418849,226497449,78601
LINC00028,20,+,30073580,30075377,1798
LINC00029,20,-,61665568,61668380,2813
LINC00032,9,-,27245681,27282791,37111
LINC00051,8,+,143279716,143290364,10649
LINC00052,15,+,88120159,88122917,2759
LINC00086,X,+,134555867,134560225,4359
LINC00087,X,-,134229014,134232733,3720
LINC00092,9,-,98782013,98784037,2025
LINC00094,9,+,136890560,136896719,6160
LINC00102,X,-,2531031,2533388,2358
LINC00111,21,+,43099461,43117496,18036
LINC00112,21,+,43136595,43137742,1148
LINC00113,21,+,29094697,29123552,28856
LINC00114,21,-,40110878,40145401,34524
LINC00115,1,-,761585,762902,1318
LINC00116,2,-,110969105,110980517,11413
LINC00152,2,+,87754973,87821030,66058
LINC00158,21,-,26758132,26804013,45882
LINC00159,21,-,33452793,33458608,5816
LINC00160,21,-,36096104,36109479,13376
LINC00161,21,+,29911639,29912677,1039
LINC00162,21,-,46419121,46424642,5522
LINC00163,21,-,46409778,46414001,4224
LINC00167,11,+,129872518,129875381,2864
LINC00173,12,+,116971226,116974318,3093
LINC00174,7,-,65841030,65865395,24366
LINC00176,20,+,62665696,62671315,5620
LINC00184,1,+,234765056,234770526,5471
LINC00189,21,+,30565814,30660526,94713
LINC00200,10,+,1205707,1210612,4906
LINC00202-1,10,-,27220134,27230930,10797
LINC00202-2,10,+,26932036,26942383,10348
LINC00207,22,+,44965219,44968329,3111
LINC00208,8,+,11434043,11438850,4808
LINC00210,1,+,218066241,218094146,27906
LINC00211,2,-,38053389,38103006,49618
LINC00221,14,+,106938444,106951529,13086
LINC00222,6,+,109072856,109091145,18290
LINC00226,14,+,106744268,106744966,699
LINC00229,22,-,45002207,45021299,19093
LINC00235,16,-,576846,577407,562
LINC00238,14,+,66953088,66965271,12184
LINC00239,14,+,102196773,102198862,2090
LINC00240,6,+,26924771,26991753,66983
LINC00242,6,-,170188885,170198921,10037
LINC00244,7,+,156333184,156333795,612
LINC00251,8,-,66073379,66092575,19197
LINC00254,16,-,1928285,1934232,5948
LINC00260,1,+,203699704,203700979,1276
LINC00261,20,-,22541191,22559280,18090
LINC00263,10,+,102133332,102148111,14780
LINC00264,10,+,26878793,26883251,4459
LINC00265,7,+,39773166,39834222,61057
LINC00266-1,20,+,62921737,62934707,12971
LINC00266-3,6,-,140263,148159,7897
LINC00269,X,+,68399399,68429767,30369
LINC00271,6,+,135818938,136011976,193039
LINC00272,1,+,182376755,182383948,7194
LINC00273,16,-,33961051,33962503,1453
LINC00276,2,-,14368997,14541082,172086
LINC00277,15,+,69373189,69388163,14975
LINC00278,Y,+,2871036,2970313,99278
LINC00280,Y,-,6225259,6229454,4196
LINC00282,13,-,52387482,52419286,31805
LINC00284,13,+,44596470,44604599,8130
LINC00290,4,-,181985242,182080302,95061
LINC00293,8,+,47752507,47767407,14901
LINC00294,11,+,33097695,33101000,3306
LINC00297,13,-,30446749,30462542,15794
LINC00298,2,-,8062555,8116945,54391
LINC00299,2,-,8147900,8468549,320650
LINC00301,11,+,60383223,60454621,71399
LINC00303,1,-,204001574,204010392,8819
LINC00304,16,+,89225627,89230083,4457
LINC00305,18,-,61747242,61816260,69019
LINC00307,21,-,31581468,31584101,2634
LINC00308,21,+,23470935,23488847,17913
LINC00309,2,-,64412212,64432619,20408
LINC00310,21,+,35552977,35562220,9244
LINC00311,16,+,85316563,85321685,5123
LINC00312,3,+,8613467,8616354,2888
LINC00313,21,-,44881973,44898103,16131
LINC00314,21,+,29385681,29395528,9848
LINC00316,21,-,46758504,46761905,3402
LINC00317,21,-,23095612,23109639,14028
LINC00319,21,+,44869903,44873771,3869
LINC00320,21,-,22114907,22175426,60520
LINC00322,21,-,44742088,44751919,9832
LINC00323,21,-,42513426,42519991,6566
LINC00324,17,-,8123947,8127361,3415
LINC00326,6,+,133409218,133427717,18500
LINC00327,13,+,24043650,24061603,17954
LINC00330,13,-,45373639,45383766,10128
LINC00331,13,-,79361453,79414185,52733
LINC00332,13,+,40755945,40763167,7223
LINC00333,13,+,84714736,85180903,466168
LINC00336,6,-,33553882,33561115,7234
LINC00337,1,+,6296299,6299502,3204
LINC00339,1,+,22351683,22357717,6035
LINC00341,14,-,95873603,95876427,2825
LINC00342,2,-,96472799,96492729,19931
LINC00343,13,+,106359178,106414145,54968
LINC00346,13,-,111516333,111522655,6323
LINC00347,13,+,75126979,75131257,4279
LINC00348,13,+,71589272,71742549,153278
LINC00351,13,+,85937737,86118797,181061
LINC00353,13,-,90201047,90216667,15621
LINC00354,13,+,112547691,112555490,7800
LINC00358,13,-,62577657,62603681,26025
LINC00359,13,-,97593534,97636426,42893
LINC00363,13,+,93697593,93710179,12587
LINC00366,13,+,39141860,39153653,11794
LINC00367,13,-,21512702,21523567,10866
LINC00368,13,+,111748184,111758237,10054
LINC00371,13,-,51656983,51746524,89542
LINC00375,13,-,85639221,85722192,82972
LINC00376,13,-,63757234,63902227,144994
LINC00377,13,+,81592525,81618577,26053
LINC00378,13,+,61247088,61269934,22847
LINC00379,13,-,91779866,91863952,84087
LINC00380,13,-,91739508,91743693,4186
LINC00381,13,+,74993309,75009296,15988
LINC00382,13,+,80446720,80492171,45452
LINC00383,13,+,69796477,69896231,99755
LINC00392,13,+,74138380,74162016,23637
LINC00395,13,-,64241814,64312151,70338
LINC00396,13,+,110705631,110707299,1669
LINC00397,13,-,88453297,88462775,9479
LINC00398,13,+,31377342,31384782,7441
LINC00399,13,+,110053042,110053986,945
LINC00400,13,+,43687300,43733602,46303
LINC00403,13,+,112626623,112762329,135707
LINC00408,13,+,19479578,19500881,21304
LINC00410,13,-,91543207,91578851,35645
LINC00411,13,-,101591774,101596618,4845
LINC00412,13,-,27810418,27811394,977
LINC00417,13,-,19312239,19314239,2001
LINC00421,13,+,19919188,19920889,1702
LINC00423,13,-,33383327,33485790,102464
LINC00424,13,-,22446934,22452299,5366
LINC00426,13,-,30914402,30948051,33650
LINC00428,13,-,43416547,43446880,30334
LINC00431,13,+,111618373,111642949,24577
LINC00433,13,+,89193083,89197764,4682
LINC00437,13,-,39106136,39260812,154677
LINC00441,13,-,48870648,48877797,7150
LINC00442,13,+,19582398,19586774,4377
LINC00443,13,+,107306227,107324528,18302
LINC00446,13,+,78587017,78627730,40714
LINC00448,13,-,63246417,63381492,135076
LINC00452,13,+,114598075,114624290,26216
LINC00456,13,-,97824635,97831876,7242
LINC00457,13,-,35009590,35214822,205233
LINC00458,13,-,54698458,54707006,8549
LINC00460,13,+,107028910,107030142,1233
LINC00461,5,-,87836596,87980620,144025
LINC00462,13,-,49151109,49155037,3929
LINC00463,13,-,25746961,25754139,7179
LINC00466,1,-,63624753,63782901,158149
LINC00467,1,+,211556096,211605877,49782
LINC00469,17,-,71745408,71824676,79269
LINC00470,18,-,1268311,1359630,91320
LINC00471,2,-,232373136,232379050,5915
LINC00472,6,-,72117566,72130448,12883
LINC00473,6,-,166337535,166401527,63993
LINC00474,9,-,118650543,118687377,36835
LINC00475,9,+,94903748,94921890,18143
LINC00476,9,-,98568369,98638259,69891
LINC00477,12,-,24719897,24737102,17206
LINC00479,21,-,43131679,43135935,4257
LINC00482,17,-,79276623,79283048,6426
LINC00483,17,-,48838394,48844876,6483
LINC00485,12,-,103203060,103218177,15118
LINC00486,2,+,33050509,33162270,111762
LINC00487,2,-,6869299,6910442,41144
LINC00488,3,+,108897011,108904108,7098
LINC00489,20,-,36247699,36251521,3823
LINC00491,5,-,101944195,102007168,62974
LINC00492,5,+,101917071,101953291,36221
LINC00493,20,+,18548072,18550203,2132
LINC00494,20,+,46988653,46999381,10729
LINC00499,4,+,139230864,139345498,114635
LINC00501,3,+,177012229,177041223,28995
LINC00502,10,+,92805564,92821916,16353
LINC00506,3,+,87138429,87206219,67791
LINC00507,12,+,128399954,128436097,36144
LINC00511,17,-,70594179,70636611,42433
LINC00514,16,+,3039054,3044510,5457
LINC00515,21,-,26955086,26955536,451
LINC00518,6,-,10428017,10435055,7039
LINC00520,14,-,56247852,56263392,15541
LINC00521,14,+,94463615,94478041,14427
LINC00523,14,+,101123604,101139081,15478
LINC00524,14,-,101872323,101874259,1937
LINC00525,7,+,47801073,47806370,5298
LINC00526,18,-,5236722,5238028,1307
LINC00528,22,+,18260055,18262247,2193
LINC00534,8,+,91233715,91400187,166473
LINC00535,8,-,94358694,94712661,353968
LINC00536,8,-,116962735,117337297,374563
LINC00538,1,+,214098091,214099996,1906
LINC00539,13,-,21877650,21918998,41349
LINC00540,13,+,22784423,22850659,66237
LINC00544,13,+,30510667,30524625,13959
LINC00545,13,+,31456698,31457532,835
LINC00547,13,+,38109076,38125673,16598
LINC00548,13,-,40768645,40794639,25995
LINC00550,13,-,69435416,69459457,24042
LINC00551,13,+,107270157,107284006,13850
LINC00552,13,-,114451483,114454062,2580
LINC00554,13,-,100647153,100650163,3011
LINC00558,13,+,54389553,54450254,60702
LINC00559,13,-,90712500,90771971,59472
LINC00562,13,-,48504287,48506757,2471
LINC00563,13,-,46870579,46871979,1401
LINC00565,13,-,114629486,114631964,2479
LINC00570,2,+,11534106,11543203,9098
LINC00571,13,-,38624953,38717369,92417
LINC00572,13,-,30492783,30500788,8006
LINC00574,6,+,170190168,170202969,12802
LINC00575,4,-,83534265,83542590,8326
LINC00577,6,-,105384168,105388402,4235
LINC00578,3,+,177159708,177470492,310785
LINC00581,6,-,21486291,21512123,25833
LINC00582,1,-,231727037,231747836,20800
LINC00583,9,+,13927969,13945606,17638
LINC00587,9,+,105281918,105419791,137874
LINC00588,8,+,58192101,58197290,5190
LINC00589,8,-,29578775,29605625,26851
LINC00592,12,+,52604713,52617597,12885
LINC00593,15,+,70127572,70135306,7735
LINC00595,10,+,80027084,80039970,12887
LINC00597,15,-,77516249,77517746,1498
LINC00598,13,-,40921270,41055143,133874
LINC00599,8,-,9757573,9760839,3267
LINC00601,10,-,128102437,128110448,8012
LINC00602,6,+,166401038,166403103,2066
LINC00603,5,+,40052392,40053426,1035
LINC00605,14,-,103653557,103655365,1809
LINC00606,3,-,10801168,10805877,4710
LINC00607,2,-,216476285,216708259,231975
LINC00608,2,+,219841005,219842644,1640
LINC00609,14,+,36539632,36634494,94863
LINC00612,12,-,9208184,9217666,9483
LINC00613,4,-,136788137,136834835,46699
LINC00615,12,+,91311799,91342446,30648
LINC00616,4,-,138948576,139051839,103264
LINC00618,14,+,97409915,97411731,1817
LINC00619,10,+,44340753,44346070,5318
LINC00620,3,+,13692220,13788132,95913
LINC00622,1,-,120140324,120141914,1591
LINC00623,1,-,144298163,144341756,43594
LINC00623,1,+,149575481,149619134,43654
LINC00624,1,-,146853913,146989699,135787
LINC00626,1,+,168756178,168762126,5949
LINC00628,1,-,204337557,204338847,1291
LINC00629,X,+,133684053,133694428,10376
LINC00630,X,+,102024094,102140338,116245
LINC00632,X,+,139791923,139854841,62919
LINC00633,X,-,134252881,134254405,1525
LINC00634,22,+,42348190,42354946,6757
LINC00635,3,-,107560508,107596915,36408
LINC00636,3,+,107602051,107647753,45703
LINC00637,14,+,104314057,104324386,10330
LINC00638,14,+,105287537,105290055,2519
LINC00639,14,-,39218542,39386086,167545
LINC00640,14,+,51800110,51832275,32166
LINC00641,14,-,21668237,21675059,6823
LINC00642,14,+,90921573,90925249,3677
LINC00643,14,+,62584074,62600903,16830
LINC00644,14,-,62600867,62606691,5825
LINC00645,14,+,28081793,28108842,27050
LINC00648,14,-,48234155,48264217,30063
LINC00649,21,+,35303515,35343487,39973
LINC00652,20,-,18768614,18775228,6615
LINC00654,20,-,5479217,5485242,6026
LINC00656,20,-,23105704,23113273,7570
LINC00657,20,-,34633539,34638882,5344
LINC00658,20,-,5412602,5426394,13793
LINC00659,20,-,61405472,61408208,2737
LINC00661,19,+,16126443,16138272,11830
LINC00662,19,-,28281400,28284848,3449
LINC00663,19,-,19867180,19887222,20043
LINC00664,19,+,21666516,21686040,19525
LINC00665,19,-,36803962,36822620,18659
LINC00667,18,+,5238098,5246505,8408
LINC00668,18,-,6925472,6929868,4397
LINC00669,18,-,36786887,37331959,545073
LINC00670,17,+,12453284,12540504,87221
LINC00671,17,-,41026690,41050751,24062
LINC00672,17,+,37081420,37085637,4218
LINC00673,17,-,70399462,70588943,189482
LINC00674,17,+,66097695,66132070,34376
LINC00675,17,-,10698229,10707416,9188
LINC00676,13,+,110380620,110382381,1762
LINC00678,11,-,27639172,27656174,17003
LINC00681,8,+,12651751,12675800,24050
LINC00682,4,-,41881538,41884628,3091
LINC00683,18,+,74331733,74335516,3784
LINC00684,X,-,72001688,72002484,797
LINC00684,X,+,72158002,72158798,797
LINC00685,X,+,281384,282054,671
LINC00685,Y,+,231384,232054,671
LINC00687,20,-,11790634,11851363,60730
LINC00689,7,+,158801044,158818929,17886
LINC00690,3,+,16577824,16582880,5057
LINC00691,3,-,24141464,24144738,3275
LINC00692,3,-,25900022,25915186,15165
LINC00693,3,+,28616768,28799828,183061
LINC00696,3,-,52096109,52099128,3020
LINC00698,3,+,63088363,63110737,22375
LINC00700,10,-,2047666,2056542,8877
LINC00701,10,-,2342512,2357268,14757
LINC00702,10,-,4249067,4286104,37038
LINC00703,10,+,4426437,4452804,26368
LINC00704,10,-,4692376,4720262,27887
LINC00705,10,+,4698347,4704606,6260
LINC00706,10,-,6816264,6821142,4879
LINC00707,10,+,6821559,6884868,63310
LINC00708,10,-,8301294,8310268,8975
LINC00709,10,+,9317575,9329019,11445
LINC00710,10,-,10976902,10994126,17225
LINC00824,8,-,129417515,129576925,159411
LINC00836,10,+,25940640,26021864,81225
LINC00837,10,-,29078239,29084979,6741
LINC00838,10,-,34048640,34061608,12969
LINC00839,10,+,42970938,42990785,19848
LINC00840,10,+,44354858,44390881,36024
LINC00841,10,+,44404751,44465355,60605
LINC00842,10,-,47096453,47151400,54948
LINC00844,10,+,60759277,60761377,2101
LINC00845,10,+,62776032,62786175,10144
LINC00847,5,+,180257956,180262726,4771
LINC00850,X,+,148958632,149008599,49968
LINC00851,20,+,18359692,18362127,2436
LINC00852,3,+,10326102,10327430,1329
LINC00853,1,+,47644921,47646011,1091
LINC00854,17,-,41373436,41381062,7627
LINC00856,10,+,80008381,80012402,4022
LINC00857,10,+,81967465,81979413,11949
LINC00858,10,+,86039735,86054415,14681
LINC00861,8,-,126934766,126963441,28676
LINC00862,1,-,200311671,200342920,31250
LINC00864,10,-,89156330,89167457,11128
LINC00865,10,+,91589249,91600618,11370
LINC00866,10,-,99588234,99609555,21322
LINC00867,10,+,120116619,120118715,2097
LINC00869,1,-,144300467,144341077,40611
LINC00869,1,+,149576160,149651107,74948
LINC00870,3,+,72200407,72223490,23084
LINC00871,14,+,46533361,46971104,437744
LINC00877,3,-,72084669,72149606,64938
LINC00879,3,+,94657106,94710169,53064
LINC00880,3,-,156799455,156840791,41337
LINC00881,3,+,156807669,156818924,11256
LINC00882,3,-,106828636,106959485,130850
LINC00883,3,+,106959538,107045811,86274
LINC00884,3,+,194207868,194209274,1407
LINC00885,3,+,195869506,195887761,18256
LINC00886,3,-,156465131,156534851,69721
LINC00887,3,-,194018988,194030593,11606
LINC00888,3,+,183165395,183173800,8406
LINC00889,X,-,137696891,137699799,2909
LINC00890,X,+,110754889,110765627,10739
LINC00891,X,+,70917045,70923256,6212
LINC00892,X,+,135721701,135724588,2888
LINC00893,X,-,148609131,148621312,12182
LINC00894,X,+,149106765,149185018,78254
LINC00895,22,-,19553652,19554362,711
LINC00896,22,+,20193854,20196060,2207
LINC00898,22,-,48016791,48027318,10528
LINC00899,22,-,46435786,46440748,4963
LINC00900,11,-,115626050,115630918,4869
LINC00901,3,+,116640277,116651085,10809
LINC00904,19,-,35382932,35389847,6916
LINC00905,19,+,16144522,16152945,8424
LINC00906,19,+,29456037,29460055,4019
LINC00907,18,+,39766632,40271389,504758
LINC00908,18,+,74240611,74271784,31174
LINC00909,18,-,72259009,72265071,6063
LINC00910,17,-,41447212,41466266,19055
LINC00911,14,+,85860222,85886418,26197
LINC00917,16,-,86365455,86379285,13831
LINC00919,16,-,52116976,52119021,2046
LINC00920,16,+,66442426,66444803,2378
LINC00921,16,+,3313767,3317566,3800
LINC00922,16,-,65318401,65610203,291803
LINC00923,15,-,98285845,98417659,131815
LINC00924,15,+,95976321,96051076,74756
LINC00925,15,+,89921272,89941718,20447
LINC00926,15,+,57592562,57599967,7406
LINC00927,15,-,80555409,80634147,78739
LINC00928,15,-,90048160,90067265,19106
LINC00929,15,+,26360959,26378184,17226
LINC00930,15,-,93111047,93115493,4447
LINC00933,15,+,85113879,85123412,9534
LINC00934,12,-,119721629,119741185,19557
LINC00935,12,+,49121217,49159569,38353
LINC00936,12,+,90102731,90105729,2999
LINC00937,12,-,8509559,8543348,33790
LINC00938,12,-,46119502,46121704,2203
LINC00939,12,-,126443233,126467920,24688
LINC00940,12,-,2038367,2045742,7376
LINC00941,12,+,30948614,30955645,7032
LINC00942,12,+,1609656,1613590,3935
LINC00943,12,+,127221552,127230800,9249
LINC00944,12,-,127215246,127256808,41563
LINC00945,21,+,34430134,34437385,7252
LINC00948,10,-,61496747,61513203,16457
LINC00950,9,+,35860270,35865515,5246
LINC00951,6,-,40312083,40323745,11663
LINC00954,2,+,20068614,20084808,16195
LINC00955,4,+,3578595,3592712,14118
LINC00957,7,+,44078647,44083895,5249
LINC00958,11,-,13001080,13011095,10016
LINC00959,10,-,131862161,131909081,46921
LINC00960,3,+,75721431,75728454,7024
LINC00961,9,+,35909479,35911617,2139
LINC00963,9,+,132250938,132275965,25028
LINC00964,8,+,125954249,125963337,9089
LINC00965,8,-,7118140,7143880,25741
LINC00967,8,+,67104348,67109554,5207
LINC00968,8,-,57430877,57472382,41506
LINC00969,3,+,195415368,195438746,23379
LINC00970,1,-,168873142,169056243,183102
LINC00971,3,-,84687555,84918726,231172
LINC00974,17,-,39705857,39710747,4891
LINC00977,8,-,130228712,130253486,24775
LINC00982,1,-,2976180,2984289,8110
LINC00987,12,+,9392598,9395645,3048
LINC00989,4,+,80413746,80497614,83869
LINC00992,5,+,116751207,116915439,164233
LINC00993,10,+,37598113,37635956,37844
LINC00994,3,-,64064036,64073039,9004
LINC00996,7,+,150130741,150145228,14488
LINC00997,7,+,32797897,32802536,4640
LINC00998,7,-,112756772,112758637,1866
LINC00999,10,+,38717073,38741081,24009
LINC01000,7,+,128281294,128301052,19759
LINC01001,11,-,126986,131920,4935
LINC01002,1,-,134772,140566,5795
LINC01002,1,+,323891,328581,4691
LINC01002,19,-,197015,202209,5195
LINC01002,5,+,180750506,180755196,4691
LINC01003,7,+,152161208,152162630,1423
LINC01004,7,-,104622193,104631612,9420
LINC01005,7,-,63484795,63490480,5686
LINC01006,7,-,156264792,156395889,131098
LINC01007,7,-,101206034,101212286,6253
LINC01010,6,+,134758853,134825158,66306
LINC01011,6,+,2988200,2991405,3206
LINC01012,6,+,27661813,27678001,16189
LINC01013,6,+,132455117,132490514,35398
LINC01014,3,+,178136988,178175093,38106
LINC01015,6,+,29497182,29501345,4164
LINC01016,6,-,33857287,33864684,7398
LINC01017,5,-,3496485,3504118,7634
LINC01018,5,+,6582248,6588613,6366
LINC01019,5,-,3417265,3536208,118944
LINC01020,5,+,5034471,5070115,35645
LINC01021,5,+,27472398,27496508,24111
LINC01023,5,-,108063525,108063962,438
LINC01024,5,-,139482506,139487597,5092
LINC01028,17,+,68047411,68064236,16826
LINC01029,18,-,75683252,75705683,22432
LINC01030,8,-,91605002,91618291,13290
LINC01031,1,+,193273874,193335083,61210
LINC01032,1,-,192904873,192917387,12515
LINC01033,5,+,53616773,53710955,94183
LINC01036,1,+,187061973,187329376,267404
LINC01038,13,+,80378520,80379817,1298
LINC01039,13,+,100229365,100238233,8869
LINC01044,13,-,112976880,112985539,8660
LINC01046,13,+,21808706,21809343,638
LINC01048,13,-,38055600,38058921,3322
LINC01049,13,+,91145541,91187595,42055
LINC01050,13,-,43384501,43386698,2198
LINC01053,13,+,25755469,25764795,9327
LINC01054,13,-,115095231,115099423,4193
LINC01055,13,-,46255333,46275319,19987
LINC01056,20,+,61669362,61685215,15854
LINC01057,1,-,95123088,95285837,162750
LINC01058,13,-,30993575,30996381,2807
LINC01060,4,+,189376731,189523062,146332
LINC01061,4,-,120326677,120331815,5139
LINC01065,13,-,53705880,53726035,20156
LINC01068,13,+,80140861,80145581,4721
LINC01069,13,-,78553900,78568908,15009
LINC01070,13,+,112851646,112855316,3671
LINC01072,13,+,20676839,20677369,531
LINC01075,13,+,62786414,62824084,37671
LINC01080,13,+,80585211,80600798,15588
LINC01081,16,-,86259185,86319853,60669
LINC01082,16,+,86229786,86233324,3539
LINC01085,4,+,14113591,14141676,28086
LINC01087,2,+,132394597,132407188,12592
LINC01088,4,+,79892901,80229953,337053
LINC01089,12,-,122233172,122241390,8219
LINC01090,2,-,188900322,189152418,252097
LINC01091,4,+,124573939,124851518,277580
LINC01093,4,-,185814153,185820615,6463
LINC01094,4,+,79567147,79605655,38509
LINC01095,4,-,147030606,147043065,12460
LINC01096,4,-,13547699,13549448,1750
LINC01097,4,-,13527942,13533041,5100
LINC01098,4,+,178649910,178911904,261995
LINC01099,4,-,178733199,178829090,95892
LINC01100,3,+,159738435,159749210,10776
LINC01101,2,-,121221910,121223925,2016
LINC01102,2,+,105050804,105129215,78412
LINC01103,2,-,105104913,105126967,22055
LINC01104,2,+,100824715,100867946,43232
LINC01105,2,+,6072818,6120350,47533
LINC01106,2,-,111132685,111142113,9429
LINC01107,2,-,239419330,239464140,44811
LINC01108,6,-,14280357,14285685,5329
LINC01111,8,+,77318888,77436567,117680
LINC01114,2,-,105363094,105374177,11084
LINC01115,2,-,779836,864112,84277
LINC01116,2,-,177494308,177502302,7995
LINC01118,2,+,47043806,47049799,5994
LINC01119,2,+,47055002,47086145,31144
LINC01120,2,+,132160473,132165801,5329
LINC01121,2,-,45401479,45482080,80602
LINC01122,2,+,58747887,59290901,543015
LINC01123,2,-,111133764,111142102,8339
LINC01123,2,+,110744556,110752858,8303
LINC01124,2,-,171568948,171571077,2130
LINC01125,2,+,98286205,98319529,33325
LINC01126,2,+,43454349,43455994,1646
LINC01127,2,+,102599926,102602007,2082
LINC01128,1,+,762970,794826,31857
LINC01132,1,+,234859788,234867390,7603
LINC01133,1,+,159931013,159948876,17864
LINC01134,1,+,3816967,3832011,15045
LINC01135,1,+,59250822,59365384,114563
LINC01136,1,-,203267885,203274453,6569
LINC01137,1,-,37920479,37940044,19566
LINC01138,1,-,143717587,143744519,26933
LINC01139,1,-,238643683,238649317,5635
LINC01140,1,+,87595447,87634886,39440
LINC01141,1,-,20686293,20755287,68995
LINC01142,1,-,170240545,170253349,12805
LINC01143,2,+,71115000,71117114,2115
LINC01144,1,+,45769581,45771291,1711
LINC01146,14,+,88490893,88553688,62796
LINC01150,11,+,1917988,1929589,11602
LINC01151,8,-,123682623,123706345,23723
LINC01152,17,+,70026794,70037438,10645
LINC01158,2,-,105421882,105467934,46053
LINC01159,2,-,105481954,105489053,7100
LINC01160,1,-,112141628,112150940,9313
LINC01162,7,+,20875049,21061771,186723
LINC01163,10,+,130084213,130115990,31778
LINC01164,10,-,133604733,133622535,17803
LINC01166,10,-,134757470,134778793,21324
LINC01167,10,-,134774843,134775741,899
LINC01168,10,+,134779037,134790001,10965
LINC01169,15,+,66874527,66978136,103610
LINC01170,5,-,123395486,123774213,378728
LINC01176,7,+,30430500,30443670,13171
LINC01177,16,-,9535150,9538842,3693
LINC01179,4,+,166605790,166683930,78141
LINC01180,17,-,42723731,42727717,3987
LINC01182,4,+,13656802,13932852,276051
LINC01184,5,-,127357243,127418766,61524
LINC01185,2,-,61074894,61108449,33556
LINC01186,X,-,46185358,46187109,1752
LINC01187,5,-,169618650,169626145,7496
LINC01189,9,+,46763790,46833319,69530
LINC01191,2,+,114737145,114764887,27743
LINC01192,3,-,162895030,163021089,126060
LINC01193,15,+,21145766,21198633,52868
LINC01194,5,+,12574968,12805295,230328
LINC01195,16,-,9539869,9549362,9494
LINC01197,15,-,95822518,95870329,47812
LINC01198,13,-,47029338,47040911,11574
LINC01201,X,-,130150442,130192120,41679
LINC01202,5,-,161337467,161428202,90736
LINC01203,X,+,13353359,13359944,6586
LINC01204,X,+,45364632,45386484,21853
LINC01205,3,+,109128836,109214014,85179
